,Target var,Target,Domain,Accuracy type,Type,Number of features
best_top1_HCP-A_totalcogcomp_r,totalcogcomp,Total cognition,Cognition,r,best,23
best_top2_HCP-A_totalcogcomp_r,totalcogcomp,Total cognition,Cognition,r,best,24
best_top3_HCP-A_totalcogcomp_r,totalcogcomp,Total cognition,Cognition,r,best,20
nec_HCP-A_totalcogcomp_r,totalcogcomp,Total cognition,Cognition,r,necessary,5
best_top1_HCP-A_crycogcomp_r,crycogcomp,Crystallized cognition,Cognition,r,best,8
best_top2_HCP-A_crycogcomp_r,crycogcomp,Crystallized cognition,Cognition,r,best,7
best_top3_HCP-A_crycogcomp_r,crycogcomp,Crystallized cognition,Cognition,r,best,9
nec_HCP-A_crycogcomp_r,crycogcomp,Crystallized cognition,Cognition,r,necessary,5
best_top1_HCP-A_fluidcogcomp_r,fluidcogcomp,Fluid cognition,Cognition,r,best,22
best_top2_HCP-A_fluidcogcomp_r,fluidcogcomp,Fluid cognition,Cognition,r,best,23
best_top3_HCP-A_fluidcogcomp_r,fluidcogcomp,Fluid cognition,Cognition,r,best,15
nec_HCP-A_fluidcogcomp_r,fluidcogcomp,Fluid cognition,Cognition,r,necessary,5
best_top1_HCP-A_cardsort_r,cardsort,Cognitive flexibility,Cognition,r,best,24
best_top2_HCP-A_cardsort_r,cardsort,Cognitive flexibility,Cognition,r,best,23
best_top3_HCP-A_cardsort_r,cardsort,Cognitive flexibility,Cognition,r,best,19
nec_HCP-A_cardsort_r,cardsort,Cognitive flexibility,Cognition,r,necessary,9
best_top1_HCP-A_flanker_r,flanker,Inhibitory control,Cognition,r,best,18
best_top2_HCP-A_flanker_r,flanker,Inhibitory control,Cognition,r,best,22
best_top3_HCP-A_flanker_r,flanker,Inhibitory control,Cognition,r,best,21
nec_HCP-A_flanker_r,flanker,Inhibitory control,Cognition,r,necessary,10
best_top1_HCP-A_reading_r,reading,Reading,Cognition,r,best,23
best_top2_HCP-A_reading_r,reading,Reading,Cognition,r,best,24
best_top3_HCP-A_reading_r,reading,Reading,Cognition,r,best,18
nec_HCP-A_reading_r,reading,Reading,Cognition,r,necessary,6
best_top1_HCP-A_picvocab_r,picvocab,Picture vocabulary,Cognition,r,best,24
best_top2_HCP-A_picvocab_r,picvocab,Picture vocabulary,Cognition,r,best,8
best_top3_HCP-A_picvocab_r,picvocab,Picture vocabulary,Cognition,r,best,21
nec_HCP-A_picvocab_r,picvocab,Picture vocabulary,Cognition,r,necessary,6
best_top1_HCP-A_procspeed_r,procspeed,Processing speed,Cognition,r,best,24
best_top2_HCP-A_procspeed_r,procspeed,Processing speed,Cognition,r,best,23
best_top3_HCP-A_procspeed_r,procspeed,Processing speed,Cognition,r,best,18
nec_HCP-A_procspeed_r,procspeed,Processing speed,Cognition,r,necessary,16
best_top1_HCP-A_listsort_r,listsort,Working memory,Cognition,r,best,21
best_top2_HCP-A_listsort_r,listsort,Working memory,Cognition,r,best,22
best_top3_HCP-A_listsort_r,listsort,Working memory,Cognition,r,best,24
nec_HCP-A_listsort_r,listsort,Working memory,Cognition,r,necessary,18
best_top1_HCP-A_anger_r,anger,Anger affect,Mental health,r,best,1
best_top2_HCP-A_anger_r,anger,Anger affect,Mental health,r,best,22
best_top3_HCP-A_anger_r,anger,Anger affect,Mental health,r,best,21
