,Target var,Target,Domain,Accuracy type,Type,Number of features
best_top1_HCP-D_totalcogcomp_r,totalcogcomp,Total cognition,Cognition,r,best,24
best_top2_HCP-D_totalcogcomp_r,totalcogcomp,Total cognition,Cognition,r,best,23
best_top3_HCP-D_totalcogcomp_r,totalcogcomp,Total cognition,Cognition,r,best,21
nec_HCP-D_totalcogcomp_r,totalcogcomp,Total cognition,Cognition,r,necessary,11
best_top1_HCP-D_crycogcomp_r,crycogcomp,Crystallized cognition,Cognition,r,best,21
best_top2_HCP-D_crycogcomp_r,crycogcomp,Crystallized cognition,Cognition,r,best,18
best_top3_HCP-D_crycogcomp_r,crycogcomp,Crystallized cognition,Cognition,r,best,12
nec_HCP-D_crycogcomp_r,crycogcomp,Crystallized cognition,Cognition,r,necessary,16
best_top1_HCP-D_fluidcogcomp_r,fluidcogcomp,Fluid cognition,Cognition,r,best,8
best_top2_HCP-D_fluidcogcomp_r,fluidcogcomp,Fluid cognition,Cognition,r,best,24
best_top3_HCP-D_fluidcogcomp_r,fluidcogcomp,Fluid cognition,Cognition,r,best,18
nec_HCP-D_fluidcogcomp_r,fluidcogcomp,Fluid cognition,Cognition,r,necessary,7
best_top1_HCP-D_cardsort_r,cardsort,Cognitive flexibility,Cognition,r,best,23
best_top2_HCP-D_cardsort_r,cardsort,Cognitive flexibility,Cognition,r,best,20
best_top3_HCP-D_cardsort_r,cardsort,Cognitive flexibility,Cognition,r,best,24
nec_HCP-D_cardsort_r,cardsort,Cognitive flexibility,Cognition,r,necessary,20
best_top1_HCP-D_flanker_r,flanker,Inhibitory control,Cognition,r,best,1
best_top2_HCP-D_flanker_r,flanker,Inhibitory control,Cognition,r,best,24
best_top3_HCP-D_flanker_r,flanker,Inhibitory control,Cognition,r,best,21
nec_HCP-D_flanker_r,flanker,Inhibitory control,Cognition,r,necessary,1
best_top1_HCP-D_reading_r,reading,Reading,Cognition,r,best,17
best_top2_HCP-D_reading_r,reading,Reading,Cognition,r,best,16
best_top3_HCP-D_reading_r,reading,Reading,Cognition,r,best,15
nec_HCP-D_reading_r,reading,Reading,Cognition,r,necessary,16
best_top1_HCP-D_picvocab_r,picvocab,Picture vocabulary,Cognition,r,best,24
best_top2_HCP-D_picvocab_r,picvocab,Picture vocabulary,Cognition,r,best,23
best_top3_HCP-D_picvocab_r,picvocab,Picture vocabulary,Cognition,r,best,22
nec_HCP-D_picvocab_r,picvocab,Picture vocabulary,Cognition,r,necessary,20
best_top1_HCP-D_procspeed_r,procspeed,Processing speed,Cognition,r,best,1
best_top2_HCP-D_procspeed_r,procspeed,Processing speed,Cognition,r,best,24
best_top3_HCP-D_procspeed_r,procspeed,Processing speed,Cognition,r,best,6
nec_HCP-D_procspeed_r,procspeed,Processing speed,Cognition,r,necessary,1
best_top1_HCP-D_listsort_r,listsort,Working memory,Cognition,r,best,2
best_top2_HCP-D_listsort_r,listsort,Working memory,Cognition,r,best,3
best_top3_HCP-D_listsort_r,listsort,Working memory,Cognition,r,best,5
nec_HCP-D_listsort_r,listsort,Working memory,Cognition,r,necessary,2
best_top1_HCP-D_anger_r,anger,Anger affect,Mental health,r,best,20
best_top2_HCP-D_anger_r,anger,Anger affect,Mental health,r,best,21
best_top3_HCP-D_anger_r,anger,Anger affect,Mental health,r,best,22
