,Dataset,Target var,Target,Domain,Accuracy type,Type,Number of features
best_top1_HCP-YA_totalcogcomp_r,HCP-YA,totalcogcomp,Total cognition,Cognition,r,best_top1,32
best_top2_HCP-YA_totalcogcomp_r,HCP-YA,totalcogcomp,Total cognition,Cognition,r,best_top2,31
best_top3_HCP-YA_totalcogcomp_r,HCP-YA,totalcogcomp,Total cognition,Cognition,r,best_top3,29
nec_HCP-YA_totalcogcomp_r,HCP-YA,totalcogcomp,Total cognition,Cognition,r,necessary,4
best_top1_HCP-YA_crycogcomp_r,HCP-YA,crycogcomp,Crystallized cognition,Cognition,r,best_top1,31
best_top2_HCP-YA_crycogcomp_r,HCP-YA,crycogcomp,Crystallized cognition,Cognition,r,best_top2,7
best_top3_HCP-YA_crycogcomp_r,HCP-YA,crycogcomp,Crystallized cognition,Cognition,r,best_top3,32
nec_HCP-YA_crycogcomp_r,HCP-YA,crycogcomp,Crystallized cognition,Cognition,r,necessary,4
best_top1_HCP-YA_fluidcogcomp_r,HCP-YA,fluidcogcomp,Fluid cognition,Cognition,r,best_top1,32
best_top2_HCP-YA_fluidcogcomp_r,HCP-YA,fluidcogcomp,Fluid cognition,Cognition,r,best_top2,30
best_top3_HCP-YA_fluidcogcomp_r,HCP-YA,fluidcogcomp,Fluid cognition,Cognition,r,best_top3,31
nec_HCP-YA_fluidcogcomp_r,HCP-YA,fluidcogcomp,Fluid cognition,Cognition,r,necessary,5
best_top1_HCP-YA_cardsort_r,HCP-YA,cardsort,Cognitive flexibility,Cognition,r,best_top1,1
best_top2_HCP-YA_cardsort_r,HCP-YA,cardsort,Cognitive flexibility,Cognition,r,best_top2,4
best_top3_HCP-YA_cardsort_r,HCP-YA,cardsort,Cognitive flexibility,Cognition,r,best_top3,5
nec_HCP-YA_cardsort_r,HCP-YA,cardsort,Cognitive flexibility,Cognition,r,necessary,1
best_top1_HCP-YA_flanker_r,HCP-YA,flanker,Inhibitory control,Cognition,r,best_top1,32
best_top2_HCP-YA_flanker_r,HCP-YA,flanker,Inhibitory control,Cognition,r,best_top2,6
best_top3_HCP-YA_flanker_r,HCP-YA,flanker,Inhibitory control,Cognition,r,best_top3,26
nec_HCP-YA_flanker_r,HCP-YA,flanker,Inhibitory control,Cognition,r,necessary,4
best_top1_HCP-YA_reading_r,HCP-YA,reading,Reading,Cognition,r,best_top1,6
best_top2_HCP-YA_reading_r,HCP-YA,reading,Reading,Cognition,r,best_top2,24
best_top3_HCP-YA_reading_r,HCP-YA,reading,Reading,Cognition,r,best_top3,31
nec_HCP-YA_reading_r,HCP-YA,reading,Reading,Cognition,r,necessary,4
best_top1_HCP-YA_picvocab_r,HCP-YA,picvocab,Picture vocabulary,Cognition,r,best_top1,11
best_top2_HCP-YA_picvocab_r,HCP-YA,picvocab,Picture vocabulary,Cognition,r,best_top2,24
best_top3_HCP-YA_picvocab_r,HCP-YA,picvocab,Picture vocabulary,Cognition,r,best_top3,26
nec_HCP-YA_picvocab_r,HCP-YA,picvocab,Picture vocabulary,Cognition,r,necessary,4
best_top1_HCP-YA_procspeed_r,HCP-YA,procspeed,Processing speed,Cognition,r,best_top1,32
best_top2_HCP-YA_procspeed_r,HCP-YA,procspeed,Processing speed,Cognition,r,best_top2,21
best_top3_HCP-YA_procspeed_r,HCP-YA,procspeed,Processing speed,Cognition,r,best_top3,29
nec_HCP-YA_procspeed_r,HCP-YA,procspeed,Processing speed,Cognition,r,necessary,5
best_top1_HCP-YA_listsort_r,HCP-YA,listsort,Working memory,Cognition,r,best_top1,32
best_top2_HCP-YA_listsort_r,HCP-YA,listsort,Working memory,Cognition,r,best_top2,7
best_top3_HCP-YA_listsort_r,HCP-YA,listsort,Working memory,Cognition,r,best_top3,28
nec_HCP-YA_listsort_r,HCP-YA,listsort,Working memory,Cognition,r,necessary,5
best_top1_HCP-YA_anger_r,HCP-YA,anger,Anger affect,Mental health,r,best_top1,15
best_top2_HCP-YA_anger_r,HCP-YA,anger,Anger affect,Mental health,r,best_top2,14
best_top3_HCP-YA_anger_r,HCP-YA,anger,Anger affect,Mental health,r,best_top3,30
nec_HCP-YA_anger_r,HCP-YA,anger,Anger affect,Mental health,r,necessary,6
best_top1_HCP-YA_fear_r,HCP-YA,fear,Fear affect,Mental health,r,best_top1,22
best_top2_HCP-YA_fear_r,HCP-YA,fear,Fear affect,Mental health,r,best_top2,19
best_top3_HCP-YA_fear_r,HCP-YA,fear,Fear affect,Mental health,r,best_top3,14
nec_HCP-YA_fear_r,HCP-YA,fear,Fear affect,Mental health,r,necessary,4
best_top1_HCP-YA_sadness_r,HCP-YA,sadness,Sadness,Mental health,r,best_top1,1
best_top2_HCP-YA_sadness_r,HCP-YA,sadness,Sadness,Mental health,r,best_top2,32
