,totalcogcomp,crycogcomp,fluidcogcomp,reading,picvocab
rest model-free FC,0.13333333333333333,0.16666666666666666,0.1111111111111111,0.08695652173913043,0.095
time-varying FC,0.0006666666666666666,0.0,0.0,0.00608695652173913,0.019
rest EC,0.13333333333333333,0.16666666666666666,0.11,0.08652173913043479,0.0995
rest network statisics,0.0,0.0,0.0,0.014782608695652174,0.003
rest gradients,0.03133333333333333,0.0008333333333333334,0.024444444444444446,0.06826086956521739,0.0015
myelin estimate,0.0,0.0,0.0038888888888888888,0.042608695652173914,0.009
GMV,0.0,0.0,0.02,0.034782608695652174,0.0155
SA,0.074,0.11083333333333334,0.0811111111111111,0.08652173913043479,0.091
CT,0.02266666666666667,0.0,0.05388888888888889,0.024782608695652172,0.03
GMV Connectivity,0.0,0.0,0.009444444444444445,0.02608695652173913,0.002
SA Connectivity,0.06733333333333333,0.060833333333333336,0.07166666666666667,0.06565217391304348,0.067
CT Connectivity,0.012666666666666666,0.0,0.05277777777777778,0.026521739130434784,0.032
SC (count),0.116,0.1575,0.06444444444444444,0.041304347826086954,0.0995
SC (length),0.0,0.0,0.0,0.034782608695652174,0.0095
FA,0.0,0.0,0.0,0.042608695652173914,0.04
MD,0.0,0.0,0.0,0.01652173913043478,0.0415
AD,0.0,0.0,0.0,0.01391304347826087,0.0195
RD,0.0,0.0,0.0,0.03173913043478261,0.0325
CARIT model-free FC,0.02266666666666667,0.0,0.04888888888888889,0.023478260869565216,0.028
FACENAME model-free FC,0.13333333333333333,0.16666666666666666,0.11055555555555556,0.08521739130434783,0.096
VISMOTOR model-free FC,0.13266666666666665,0.14166666666666666,0.1111111111111111,0.0791304347826087,0.076
CARIT EC,0.0,0.0,0.01888888888888889,0.008695652173913044,0.004
FACENAME EC,0.07466666666666667,0.028333333333333332,0.056666666666666664,0.026521739130434784,0.076
VISMOTOR EC,0.04533333333333334,0.0,0.051111111111111114,0.026521739130434784,0.013
