,totalcogcomp
AD,0.02857142857142857
CARIT EC,0.05714285714285714
CARIT model-free FC,0.056
CT,0.040857142857142856
CT Connectivity,0.031714285714285716
EMOTION EC,0.056857142857142856
EMOTION model-free FC,0.056857142857142856
FA,0.02857142857142857
GMV,0.031142857142857142
GMV Connectivity,0.03
GUESSING EC,0.054857142857142854
GUESSING model-free FC,0.056285714285714286
MD,0.02857142857142857
RD,0.029142857142857144
SA,0.029142857142857144
SA Connectivity,0.029714285714285714
SC (count),0.056285714285714286
SC (length),0.031714285714285716
myelin estimate,0.05114285714285714
rest EC,0.05542857142857143
rest gradients,0.032285714285714286
rest model-free FC,0.056
rest network statisics,0.03542857142857143
time-varying FC,0.03628571428571428
