,totalcogcomp,crycogcomp,fluidcogcomp,reading,picvocab,listsort
rest model-free FC,0.09818181818181818,0.196,0.0875,0.192,0.166,0.14
time-varying FC,0.0,0.0,0.0,0.0,0.0,0.002857142857142857
rest EC,0.0,0.0,0.0,0.0,0.0,0.0
rest network statisics,0.0,0.0,0.0,0.0,0.0,0.0
rest gradients,0.0,0.002,0.0008333333333333334,0.0,0.0,0.06142857142857143
myelin estimate,0.0,0.0,0.0,0.0,0.0,0.002857142857142857
GMV,0.0,0.0,0.0,0.0,0.0,0.0
SA,0.0,0.0,0.0008333333333333334,0.0,0.0,0.0
CT,0.0,0.0,0.0,0.0,0.0,0.009285714285714286
GMV Connectivity,0.0,0.0,0.0,0.0,0.0,0.0
SA Connectivity,0.0,0.0,0.0025,0.0,0.0,0.0064285714285714285
CT Connectivity,0.0,0.0,0.0,0.0,0.0,0.014285714285714285
SC (count),0.0,0.0,0.0,0.0,0.0,0.0
SC (length),0.0,0.0,0.0,0.0,0.0,0.0
FA,0.0,0.0,0.0,0.0,0.0,0.002142857142857143
MD,0.0,0.0,0.0,0.0,0.0,0.0
AD,0.0,0.0,0.0,0.0,0.0,0.017142857142857144
RD,0.0,0.0,0.0,0.0,0.0,0.0
EMOTION model-free FC,0.0036363636363636364,0.006,0.08666666666666667,0.0,0.054,0.05357142857142857
GAMBLING model-free FC,0.15818181818181817,0.152,0.165,0.184,0.161,0.11571428571428571
LANGUAGE model-free FC,0.17727272727272728,0.172,0.10833333333333334,0.126,0.194,0.13785714285714284
MOTOR model-free FC,0.1009090909090909,0.009,0.1325,0.016,0.035,0.06785714285714285
WM model-free FC,0.18181818181818182,0.168,0.16666666666666666,0.196,0.176,0.1392857142857143
RELATIONAL model-free FC,0.11363636363636363,0.097,0.11333333333333333,0.097,0.019,0.09357142857142857
SOCIAL model-free FC,0.16636363636363635,0.198,0.13583333333333333,0.189,0.195,0.1357142857142857
EMOTION EC,0.0,0.0,0.0,0.0,0.0,0.0
GAMBLING EC,0.0,0.0,0.0,0.0,0.0,0.0
LANGUAGE EC,0.0,0.0,0.0,0.0,0.0,0.0
MOTOR EC,0.0,0.0,0.0,0.0,0.0,0.0
WM EC,0.0,0.0,0.0,0.0,0.0,0.0
RELATIONAL EC,0.0,0.0,0.0,0.0,0.0,0.0
SOCIAL EC,0.0,0.0,0.0,0.0,0.0,0.0
