,Cognitive flexibility,Crystallized cognition,Fluid cognition,Loneliness,Openness (NEO),Picture vocabulary,Processing speed,Reading,Total cognition,Working memory
rest model-free FC,0.0,0.196,0.0,0.0,0.0,0.14,0.0,0.194,0.11,0.57
time-varying FC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rest EC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rest network statisics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rest gradients,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
myelin estimate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GMV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GMV Connectivity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SA Connectivity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT Connectivity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SC (count),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SC (length),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMOTION model-free FC,0.0,0.002,0.0,0.0,1.0,0.10857142857142857,0.0,0.0,0.0,0.0
GAMBLING model-free FC,0.0,0.174,0.0,0.0,0.0,0.14285714285714285,0.0,0.19,0.16166666666666665,0.013333333333333334
LANGUAGE model-free FC,0.0,0.192,0.0,0.0,0.0,0.14285714285714285,0.0,0.16,0.16666666666666666,0.18666666666666668
MOTOR model-free FC,0.0,0.0,0.0,0.0,0.0,0.08714285714285715,1.0,0.01,0.10333333333333333,0.0
WM model-free FC,1.0,0.184,1.0,1.0,0.0,0.14285714285714285,0.0,0.2,0.16666666666666666,0.20333333333333334
RELATIONAL model-free FC,0.0,0.05,0.0,0.0,0.0,0.09285714285714286,0.0,0.058,0.12666666666666668,0.0
SOCIAL model-free FC,0.0,0.2,0.0,0.0,0.0,0.14285714285714285,0.0,0.188,0.165,0.02666666666666667
EMOTION EC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAMBLING EC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LANGUAGE EC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOTOR EC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WM EC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RELATIONAL EC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOCIAL EC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
confound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
