"collection_id"	"leap01_id"	"dataset_id"	"subjectkey"	"src_subject_id"	"interview_age"	"interview_date"	"sex"	"lan_know"	"lan11"	"lan12"	"lan13"	"lan14"	"lan15"	"lan21"	"lan22"	"lan23"	"lan24"	"lan25"	"lan31"	"lan32"	"lan33"	"lan34"	"lan35"	"lan3err"	"lan41"	"lan42"	"lan43"	"lan44"	"lan45"	"lan4err"	"lan511"	"lan512"	"lan513"	"lan514"	"lan521"	"lan522"	"lan523"	"lan524"	"lan531"	"lan532"	"lan533"	"lan534"	"lan541"	"lan542"	"lan543"	"lan544"	"lan_541"	"lan_542"	"lan_543"	"lan_544"	"lan611"	"lan612"	"lan613"	"lan621"	"lan622"	"lan623"	"lan631"	"lan632"	"lan633"	"lan641"	"lan642"	"lan643"	"lan_641"	"lan_642"	"lan_643"	"lan71"	"lan72"	"lan73"	"lan74"	"lan75"	"lan81"	"lan82"	"lan83"	"lan84"	"lan85"	"lan_1"	"lan_2"	"lan_3"	"lan_4"	"lan_5"	"lan_6"	"lan_7"	"lan_8"	"lan_9"	"lan_10"	"lan_11"	"lan_12"	"lan_13"	"lan_14"	"lan_15"	"lan_16"	"educat"	"lan_18"	"demo_edu_other"	"lan_20"	"lan_21"	"lan_22"	"lan_23"	"lan_24"	"lan_25"	"lan_26"	"lan_27"	"lan_28"	"lan_29"	"lan_30"	"lan_31"	"lan_32"	"lan_33"	"lan_34"	"lan_35"	"lan_36"	"lan_37"	"lan_38"	"lan_39"	"lan_40"	"lan_41"	"lan_42"	"lan_43"	"lan_44"	"lan_45"	"lan_46"	"lan_47"	"lan_48"	"lan_49"	"lan_50"	"lan_51"	"lan_52"	"lan_53"	"lan_54"	"lan_55"	"lan_56"	"lan_57"	"lan_58"	"lan_59"	"lan_60"	"lan_61"	"lan_62"	"lan_63"	"lan_64"	"lan_65"	"lan_66"	"lan_67"	"lan_68"	"lan_69"	"lan_70"	"lan_71"	"lan_72"	"lan_73"	"lan_74"	"lan_75"	"lan_76"	"lan_77"	"lan_78"	"lan_79"	"lan_80"	"lan_81"	"lan_82"	"lan_83"	"lan_84"	"lan_85"	"lan_86"	"lan_87"	"lan_88"	"lan_89"	"lan_90"	"lan_91"	"lan_92"	"lan_93"	"lan_94"	"lan_95"	"lan_96"	"lan_97"	"lan_98"	"lan_99"	"lan_100"	"lan_101"	"lan_102"	"lan_103"	"lan_104"	"lan_105"	"lan_106"	"lan_107"	"lan_108"	"lan_109"	"lan_110"	"lan_111"	"lan_112"	"lan_113"	"lan_114"	"lan_115"	"lan_116"	"lan_117"	"lan_118"	"lan_119"	"lan_120"	"lan_121"	"lan_122"	"lan_123"	"lan_124"	"lan_125"	"lan_126"	"lan_127"	"lan_128"	"lan_129"	"lan_130"	"lan_131"	"lan_132"	"lan_133"	"comqother"	"collection_title"
"collection_id"	"leap01_id"	"dataset_id"	"The NDAR Global Unique Identifier (GUID) for research subject"	"Subject ID how it's defined in lab/project"	"Age in months at the time of the interview/test/sampling/imaging."	"Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY"	"Sex of subject at birth"	"How many languages do you know?"	"Please list all the languages you know in order of dominance: Language 1:"	"Please list all the languages you know in order of dominance: Language 2:"	"Please list all the languages you know in order of dominance: Language 3:"	"Please list all the languages you know in order of dominance: Language 4:"	"Please list all the languages you know in order of dominance: Language 5:"	"Please list all the languages you know in order of acquisition (your native language first): Language 1:"	"Please list all the languages you know in order of acquisition (your native language first): Language 2:"	"Please list all the languages you know in order of acquisition (your native language first): Language 3:"	"Please list all the languages you know in order of acquisition (your native language first): Language 4:"	"Please list all the languages you know in order of acquisition (your native language first): Language 5:"	"Please list what percentage of the time you are currently and on average exposed to each language (Your percentages should add up to 100%) Average Exposure Percentage to Language 1:"	"Please list what percentage of the time you are currently and on average exposed to each language (Your percentages should add up to 100%) Average Exposure Percentage to Language 2:"	"Please list what percentage of the time you are currently and on average exposed to each language (Your percentages should add up to 100%) Average Exposure Percentage to Language 3:"	"Please list what percentage of the time you are currently and on average exposed to each language (Your percentages should add up to 100%) Average Exposure Percentage to Language 4:"	"Please list what percentage of the time you are currently and on average exposed to each language (Your percentages should add up to 100%) Average Exposure Percentage to Language 5:"	"Please list what percentage of the time you are currently and on average exposed to each language (Your percentages should add up to 100%) Average Exposure Percentage"	"When choosing a language to speak with a person who is equally fluent in all the languages you know, what percentage of time would you choose to speak each language?  Please report percent of total time  (Your percentages should add up to 100%) Language 1 Speaking Percentage:"	"When choosing a language to speak with a person who is equally fluent in all the languages you know, what percentage of time would you choose to speak each language?  Please report percent of total time  (Your percentages should add up to 100%) Language 2 Speaking Percentage:"	"When choosing a language to speak with a person who is equally fluent in all the languages you know, what percentage of time would you choose to speak each language?  Please report percent of total time  (Your percentages should add up to 100%) Language 3 Speaking Percentage:"	"When choosing a language to speak with a person who is equally fluent in all the languages you know, what percentage of time would you choose to speak each language?  Please report percent of total time  (Your percentages should add up to 100%) Language 4 Speaking Percentage:"	"When choosing a language to speak with a person who is equally fluent in all the languages you know, what percentage of time would you choose to speak each language?  Please report percent of total time  (Your percentages should add up to 100%) Language 5 Speaking Percentage:"	"When choosing a language to speak with a person who is equally fluent in all the languages you know, what percentage of time would you choose to speak each language?  Please report percent of total time  (Your percentages should add up to 100%) Average Exposure Percentage"	"Age when you first: Language 1: Began acquiring Language 1:"	"Age when you first: Language 1: Became fluent in Language 1:"	"Age when you first: Language 1: Began reading in Language 1:"	"Age when you first: Language 1: Became fluent reading in Language 1:"	"Age when you first: Language 2: Began acquiring Language 2:"	"Age when you first: Language 2: Became fluent in Language 2:"	"Age when you first: Language 2: Began reading in Language 2:"	"Age when you first: Language 2: Became fluent reading in Language 2:"	"Age when you first: Language 3: Began acquiring Language 3:"	"Age when you first: Language 3: Became fluent in Language 3:"	"Age when you first: Language 3: Began reading in Language 3:"	"Age when you first: Language 3: Became fluent reading in Language 3:"	"Age when you first: Language 4: Began acquiring Language 4:"	"Age when you first: Language 4: Became fluent in Language 4:"	"Age when you first: Language 4: Began reading in Language 4:"	"Age when you first: Language 4: Became fluent reading in Language 4:"	"Age when you first: Language 5: Began acquiring Language 5:"	"Age when you first: Language 5: Became fluent in Language 5:"	"Age when you first: Language 5: Began reading in Language 5:"	"Age when you first: Language 5: Became fluent reading in Language 5:"	"On a scale from 0 to 10, please select your level of proficiency in each language: Language 1: Speaking Language 1:"	"On a scale from 0 to 10, please select your level of proficiency in each language: Language 1: Understanding spoken Language 1:"	"On a scale from 0 to 10, please select your level of proficiency in each language: Language 1: Reading Language 1:"	"On a scale from 0 to 10, please select your level of proficiency in each language: Language 2: Speaking Language 2:"	"On a scale from 0 to 10, please select your level of proficiency in each language: Language 2: Understanding spoken Language 2:"	"On a scale from 0 to 10, please select your level of proficiency in each language: Language 2: Reading Language 2:"	"On a scale from 0 to 10, please select your level of proficiency in each language: Language 3: Speaking Language 3:"	"On a scale from 0 to 10, please select your level of proficiency in each language: Language 3: Understanding spoken Language 3:"	"On a scale from 0 to 10, please select your level of proficiency in each language: Language 3: Reading Language 3:"	"On a scale from 0 to 10, please select your level of proficiency in each language: Language 4: Speaking Language 4:"	"On a scale from 0 to 10, please select your level of proficiency in each language: Language 4: Understanding spoken Language 4:"	"On a scale from 0 to 10, please select your level of proficiency in each language: Language 4: Reading Language 4:"	"On a scale from 0 to 10, please select your level of proficiency in each language: Language 5: Speaking Language 5:"	"On a scale from 0 to 10, please select your level of proficiency in each language: Language 5: Understanding spoken Language 5:"	"On a scale from 0 to 10, please select your level of proficiency in each language: Language 5: Reading Language 5:"	"In your perception, how much of a  foreign accent do you have in ___? Foreign Accent in Language 1:"	"In your perception, how much of a  foreign accent do you have in ___? Foreign Accent in Language 2:"	"In your perception, how much of a  foreign accent do you have in ___? Foreign Accent in Language 3:"	"In your perception, how much of a  foreign accent do you have in ___? Foreign Accent in Language 4:"	"In your perception, how much of a  foreign accent do you have in ___? Foreign Accent in Language 5:"	"Please rate how frequently others identify you as a  non-native speaker based on your  accent (please use scale below) when you speak Language 1:"	"Please rate how frequently others identify you as a  non-native speaker based on your  accent (please use scale below) when you speak Language 2:"	"Please rate how frequently others identify you as a  non-native speaker based on your  accent (please use scale below) when you speak Language 3:"	"Please rate how frequently others identify you as a  non-native speaker based on your  accent (please use scale below) when you speak Language 4:"	"Please rate how frequently others identify you as a  non-native speaker based on your  accent (please use scale below) when you speak Language 5:"	"When choosing to read a text available in all your languages, in what percentage of cases would you choose to read it in each of your languages? Assume that the original was written in another language, which is unknown to you. Language 1"	"When choosing to read a text available in all your languages, in what percentage of cases would you choose to read it in each of your languages? Assume that the original was written in another language, which is unknown to you. Language 2"	"When choosing to read a text available in all your languages, in what percentage of cases would you choose to read it in each of your languages? Assume that the original was written in another language, which is unknown to you. Language 3"	"When choosing to read a text available in all your languages, in what percentage of cases would you choose to read it in each of your languages? Assume that the original was written in another language, which is unknown to you. Language 4"	"When choosing to read a text available in all your languages, in what percentage of cases would you choose to read it in each of your languages? Assume that the original was written in another language, which is unknown to you. Language 5"	"When choosing to read a text available in all your languages, in what percentage of cases would you choose to read it in each of your languages? Assume that the original was written in another language, which is unknown to you. Average"	"Please name the cultures with which you identify. (Examples of possible cultures include US-American, Chinese, Jewish-Orthodox, etc.): Culture 1"	"Please name the cultures with which you identify. On a scale from zero to ten, please rate the extent to which you identify with each culture. (Examples of possible cultures include US-American, Chinese, Jewish-Orthodox, etc.): Culture 2"	"Please name the cultures with which you identify. On a scale from zero to ten, please rate the extent to which you identify with each culture. (Examples of possible cultures include US-American, Chinese, Jewish-Orthodox, etc.): Culture 3"	"Please name the cultures with which you identify. On a scale from zero to ten, please rate the extent to which you identify with each culture. (Examples of possible cultures include US-American, Chinese, Jewish-Orthodox, etc.): Culture 4"	"Please name the cultures with which you identify. On a scale from zero to ten, please rate the extent to which you identify with each culture. (Examples of possible cultures include US-American, Chinese, Jewish-Orthodox, etc.): Culture 5"	"On a scale from zero to ten, please rate the extent to which you identify with each culture: Culture 1"	"On a scale from zero to ten, please rate the extent to which you identify with each culture: Culture 2"	"On a scale from zero to ten, please rate the extent to which you identify with each culture: Culture 3"	"On a scale from zero to ten, please rate the extent to which you identify with each culture: Culture 4"	"On a scale from zero to ten, please rate the extent to which you identify with each culture: Culture 5"	"Number of years in formal education"	"Please check your highest education level (or the approximate U.S. equivalent to a degree obtained in another country)"	"Education other: specify"	"Date of immigration to the United States, if applicable"	"If you have ever lived in another country, please provide name of country and dates of residence:"	"Check all applicable: vision problem, hearing impairment, language disability, or learning disability"	"If above difficulties in language acquisition were checked, then please explain (including any corrections)"	"Please list the number of years you spent in each language environment: A country where Language 1 is spoken"	"Please list the number of years you spent in each language environment: A family where Language 1 is spoken"	"Please list the number of years you spent in each language environment: A school and/or working environment where Language 1 is spoken"	"Please list the number of months you spent in each language environment: A country where Language 1 is spoken"	"Please list the number of months you spent in each language environment: A family where Language 1 is spoken"	"Please list the number of months you spent in each language environment: A school and/or working environment where Language 1 is spoken"	"Please list the number of years you spent in each language environment: A country where Language 2 is spoken"	"Please list the number of years you spent in each language environment: A family where Language 2 is spoken"	"Please list the number of years you spent in each language environment: A school and/or working environment where Language 2 is spoken"	"Please list the number of months you spent in each language environment: A country where Language 2 is spoken"	"Please list the number of months you spent in each language environment: A family where Language 2 is spoken"	"Please list the number of months you spent in each language environment: A school and/or working environment where Language 2 is spoken"	"Please list the number of years you spent in each language environment: A country where Language 3 is spoken"	"Please list the number of years you spent in each language environment: A family where Language 3 is spoken"	"Please list the number of years you spent in each language environment: A school and/or working environment where Language 3 is spoken"	"Please list the number of months you spent in each language environment: A country where Language 3 is spoken"	"Please list the number of months you spent in each language environment: A family where Language 3 is spoken"	"Please list the number of months you spent in each language environment: A school and/or working environment where Language 3 is spoken"	"Please list the number of years you spent in each language environment: A country where Language 4 is spoken"	"Please list the number of years you spent in each language environment: A family where Language 4 is spoken"	"Please list the number of years you spent in each language environment: A school and/or working environment where Language 4 is spoken"	"Please list the number of months you spent in each language environment: A country where Language 4 is spoken"	"Please list the number of months you spent in each language environment: A family where Language 4 is spoken"	"Please list the number of months you spent in each language environment: A school and/or working environment where Language 4 is spoken"	"Please list the number of years you spent in each language environment: A country where Language 5 is spoken"	"Please list the number of years you spent in each language environment: A family where Language 5 is spoken"	"Please list the number of years you spent in each language environment: A school and/or working environment where Language 5 is spoken"	"Please list the number of months you spent in each language environment: A country where Language 5 is spoken"	"Please list the number of months you spent in each language environment: A family where Language 5 is spoken"	"Please list the number of months you spent in each language environment: A school and/or working environment where Language 5 is spoken"	"On a scale of zero to ten, please select how much the following factors contributed to you learning Language 1: Interacting with friends"	"On a scale of zero to ten, please select how much the following factors contributed to you learning Language 1: Interacting with family"	"On a scale of zero to ten, please select how much the following factors contributed to you learning Language 1: Reading"	"On a scale of zero to ten, please select how much the following factors contributed to you learning Language 1: Language tapes/self instruction"	"On a scale of zero to ten, please select how much the following factors contributed to you learning Language 1: Watching TV"	"On a scale of zero to ten, please select how much the following factors contributed to you learning Language 1: Listening to the radio"	"On a scale of zero to ten, please select how much the following factors contributed to you learning Language 2: Interacting with friends"	"On a scale of zero to ten, please select how much the following factors contributed to you learning Language 2: Interacting with family"	"On a scale of zero to ten, please select how much the following factors contributed to you learning Language 2: Reading"	"On a scale of zero to ten, please select how much the following factors contributed to you learning Language 2: Language tapes/self instruction"	"On a scale of zero to ten, please select how much the following factors contributed to you learning Language 2: Watching TV"	"On a scale of zero to ten, please select how much the following factors contributed to you learning Language 2: Listening to the radio"	"On a scale of zero to ten, please select how much the following factors contributed to you learning Language 3: Interacting with friends"	"On a scale of zero to ten, please select how much the following factors contributed to you learning Language 3: Interacting with family"	"On a scale of zero to ten, please select how much the following factors contributed to you learning Language 3: Reading"	"On a scale of zero to ten, please select how much the following factors contributed to you learning Language 3: Language tapes/self instruction"	"On a scale of zero to ten, please select how much the following factors contributed to you learning Language 3: Watching TV"	"On a scale of zero to ten, please select how much the following factors contributed to you learning Language 3: Listening to the radio"	"On a scale of zero to ten, please select how much the following factors contributed to you learning Language 4: Interacting with friends"	"On a scale of zero to ten, please select how much the following factors contributed to you learning Language 4: Interacting with family"	"On a scale of zero to ten, please select how much the following factors contributed to you learning Language 4: Reading"	"On a scale of zero to ten, please select how much the following factors contributed to you learning Language 4: Language tapes/self instruction"	"On a scale of zero to ten, please select how much the following factors contributed to you learning Language 4: Watching TV"	"On a scale of zero to ten, please select how much the following factors contributed to you learning Language 4: Listening to the radio"	"On a scale of zero to ten, please select how much the following factors contributed to you learning Language 5: Interacting with friends"	"On a scale of zero to ten, please select how much the following factors contributed to you learning Language 5: Interacting with family"	"On a scale of zero to ten, please select how much the following factors contributed to you learning Language 5: Reading"	"On a scale of zero to ten, please select how much the following factors contributed to you learning Language 5: Language tapes/self instruction"	"On a scale of zero to ten, please select how much the following factors contributed to you learning Language 5: Watching TV"	"On a scale of zero to ten, please select how much the following factors contributed to you learning Language 5: Listening to the radio"	"On a scale of zero to ten, please rate to what extent you are currently exposed to a language in the following contexts:  Language 1: Interacting with friends"	"On a scale of zero to ten, please rate to what extent you are currently exposed to a language in the following contexts:  Language 1: Interacting with family"	"On a scale of zero to ten, please rate to what extent you are currently exposed to a language in the following contexts:  Language 1: Reading"	"On a scale of zero to ten, please rate to what extent you are currently exposed to a language in the following contexts:  Language 1: Language lab/self instruction"	"On a scale of zero to ten, please rate to what extent you are currently exposed to a language in the following contexts:  Language 1: Watching TV"	"On a scale of zero to ten, please rate to what extent you are currently exposed to a language in the following contexts:  Language 1: Listening to the radio/music"	"On a scale of zero to ten, please rate to what extent you are currently exposed to a language in the following contexts:  Language 2: Interacting with friends"	"On a scale of zero to ten, please rate to what extent you are currently exposed to a language in the following contexts:  Language 2: Interacting with family"	"On a scale of zero to ten, please rate to what extent you are currently exposed to a language in the following contexts:  Language 2: Reading"	"On a scale of zero to ten, please rate to what extent you are currently exposed to a language in the following contexts:  Language 2: Language lab/self instruction"	"On a scale of zero to ten, please rate to what extent you are currently exposed to a language in the following contexts:  Language 2: Watching TV"	"On a scale of zero to ten, please rate to what extent you are currently exposed to a language in the following contexts:  Language 2: Listening to the radio/music"	"On a scale of zero to ten, please rate to what extent you are currently exposed to a language in the following contexts:  Language 3: Interacting with friends"	"On a scale of zero to ten, please rate to what extent you are currently exposed to a language in the following contexts:  Language 3: Interacting with family"	"On a scale of zero to ten, please rate to what extent you are currently exposed to a language in the following contexts:  Language 3: Reading"	"On a scale of zero to ten, please rate to what extent you are currently exposed to a language in the following contexts:  Language 3: Language lab/self instruction"	"On a scale of zero to ten, please rate to what extent you are currently exposed to a language in the following contexts:  Language 3: Watching TV"	"On a scale of zero to ten, please rate to what extent you are currently exposed to a language in the following contexts:  Language 3: Listening to the radio/music"	"On a scale of zero to ten, please rate to what extent you are currently exposed to a language in the following contexts:  Language 4: Interacting with friends"	"On a scale of zero to ten, please rate to what extent you are currently exposed to a language in the following contexts:  Language 4: Interacting with family"	"On a scale of zero to ten, please rate to what extent you are currently exposed to a language in the following contexts:  Language 4: Reading"	"On a scale of zero to ten, please rate to what extent you are currently exposed to a language in the following contexts:  Language 4: Language lab/self instruction"	"On a scale of zero to ten, please rate to what extent you are currently exposed to a language in the following contexts:  Language 4: Watching TV"	"On a scale of zero to ten, please rate to what extent you are currently exposed to a language in the following contexts:  Language 4: Listening to the radio/music"	"On a scale of zero to ten, please rate to what extent you are currently exposed to a language in the following contexts:  Language 5: Interacting with friends"	"On a scale of zero to ten, please rate to what extent you are currently exposed to a language in the following contexts:  Language 5: Interacting with family"	"On a scale of zero to ten, please rate to what extent you are currently exposed to a language in the following contexts:  Language 5: Reading"	"On a scale of zero to ten, please rate to what extent you are currently exposed to a language in the following contexts:  Language 5: Language lab/self instruction"	"On a scale of zero to ten, please rate to what extent you are currently exposed to a language in the following contexts:  Language 5: Watching TV"	"On a scale of zero to ten, please rate to what extent you are currently exposed to a language in the following contexts:  Language 5: Listening to the radio/music"	"Language 1: Understanding Scale"	"Language 1: Speaking Scale"	"Language 1: Reading Scale"	"Language 1: Writing Scale"	"Language 2: Understanding  Scale"	"Language 2: Speaking Scale"	"Language 2: Reading Scale"	"Language 2: Writing Scale"	"Language 3: Understanding  Scale"	"Language 3: Speaking Scale"	"Language 3: Reading Scale"	"Language 3: Writing Scale"	"Language 4: Understanding  Scale"	"Language 4: Speaking Scale"	"Language 4: Reading Scale"	"Language 4: Writing Scale"	"Language 5: Understanding  Scale"	"Language 5: Speaking Scale"	"Language 5: Reading Scale"	"Language 5: Writing Scale"	"Respondent - Other (text)"	"collection_title"
"2847"	"14214"	"37672"	"NDAR_INVWX812CYJ"	"HCA7937701"	"898"	"04/01/2019"	"M"	"2"	"Spanish"	"English"	""	""	""	"Spanish"	"English"	""	""	""	"85"	"15"	""	""	""	"100"	"90"	"10"	""	""	""	"100"	"1.0"	"5.0"	"5.0"	"7.0"	"23.0"	"33.0"	"23.0"	"33.0"	""	""	""	""	""	""	""	""	""	""	""	""	"9"	"9"	"9"	"8"	"8"	"8"	""	""	""	""	""	""	""	""	""	"0"	"5"	""	""	""	"5"	"7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"subject about self"	"HCP-A Mapping the Human Connectome During Typical Aging "
"2847"	"14235"	"37672"	"NDAR_INVME429NDN"	"HCA9481693"	"468"	"01/01/2018"	"F"	"2"	"English"	"Spanish"	""	""	""	"Spanish"	"English"	""	""	""	"80"	"20"	""	""	""	"100"	"50"	"50"	""	""	""	"100"	"6.0"	"7.0"	"7.0"	"7.0"	"1.0"	"5.0"	"7.0"	"7.0"	""	""	""	""	""	""	""	""	""	""	""	""	"10"	"10"	"10"	"10"	"10"	"10"	""	""	""	""	""	""	""	""	""	"0"	"0"	""	""	""	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"subject about self"	"HCP-A Mapping the Human Connectome During Typical Aging "
"2847"	"14319"	"37672"	"NDAR_INVKD001AE4"	"HCA7301251"	"776"	"04/01/2017"	"F"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"subject about self"	"HCP-A Mapping the Human Connectome During Typical Aging "
"2847"	"14321"	"37672"	"NDAR_INVHL756PW6"	"HCA8794407"	"728"	"04/01/2017"	"F"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"subject about self"	"HCP-A Mapping the Human Connectome During Typical Aging "
"2847"	"14199"	"37672"	"NDAR_INVYD499VP1"	"HCA7317367"	"627"	"07/01/2017"	"M"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"subject about self"	"HCP-A Mapping the Human Connectome During Typical Aging "
"2847"	"14234"	"37672"	"NDAR_INVPP403MM9"	"HCA9319280"	"449"	"10/01/2017"	"F"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"subject about self"	"HCP-A Mapping the Human Connectome During Typical Aging "
"2847"	"14542"	"37672"	"NDAR_INVVJ591PR6"	"HCA6120646"	"987"	"04/01/2018"	"F"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"subject about self"	"HCP-A Mapping the Human Connectome During Typical Aging "
"2847"	"14332"	"37672"	"NDAR_INVWY596NB9"	"HCA6605569"	"992"	"07/01/2017"	"F"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"subject about self"	"HCP-A Mapping the Human Connectome During Typical Aging "
"2847"	"14339"	"37672"	"NDAR_INVVU507XP9"	"HCA8913489"	"871"	"07/01/2017"	"F"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"subject about self"	"HCP-A Mapping the Human Connectome During Typical Aging "
